        WHEN        |        WHO        |        WHAT        |        RESULT        
2013-05-29 20:56:17  |  Dealer- Ricardo  |  deal  |  -
2013-05-29 20:56:17  |  Player3-Lima  |  receive-cards  |  Kc-6c-Jc / 7h-10h-Jh / 2d-6d-5d-Ad / 2s-4s-6s / 
2013-05-29 20:56:17  |  Player2-Rita  |  receive-cards  |  3c-9c-5c-10c-8c-Qc / 6h-Ah-9h / Jd-4d / 3s-Qs / 
2013-05-29 20:56:17  |  Player1-Joao  |  receive-cards  |  2c-7c / 4h-Qh-5h-3h / 8d-10d / 5s-Ks-Js-9s-10s / 
2013-05-29 20:56:17  |  Player0-Ricardo  |  receive-cards  |  4c-Ac / 8h-Kh-2h / Qd-9d-Kd-7d-3d / As-8s-7s / 
2013-05-29 20:56:25  |  Player3-Lima  |  play  |  Kc
2013-05-29 20:56:25  |  Player3-Lima  |  hand  |  6c-Jc / 7h-10h-Jh / 2d-6d-5d-Ad / 2s-4s-6s / 
2013-05-29 20:56:29  |  Player0-Ricardo  |  play  |  4c
2013-05-29 20:56:29  |  Player0-Ricardo  |  hand  |  Ac / 8h-Kh-2h / Qd-9d-Kd-7d-3d / As-8s-7s / 
2013-05-29 20:56:31  |  Player1-Joao  |  play  |  2c
2013-05-29 20:56:31  |  Player1-Joao  |  hand  |  7c / 4h-Qh-5h-3h / 8d-10d / 5s-Ks-Js-9s-10s / 
2013-05-29 20:56:37  |  Player2-Rita  |  play  |  3c
2013-05-29 20:56:37  |  Player2-Rita  |  hand  |  9c-5c-10c-8c-Qc / 6h-Ah-9h / Jd-4d / 3s-Qs / 
2013-05-29 20:56:41  |  Player3-Lima  |  play  |  6c
2013-05-29 20:56:41  |  Player3-Lima  |  hand  |  Jc / 7h-10h-Jh / 2d-6d-5d-Ad / 2s-4s-6s / 
2013-05-29 20:56:44  |  Player0-Ricardo  |  play  |  Ac
2013-05-29 20:56:44  |  Player0-Ricardo  |  hand  |  8h-Kh-2h / Qd-9d-Kd-7d-3d / As-8s-7s / 
2013-05-29 20:56:47  |  Player1-Joao  |  play  |  7c
2013-05-29 20:56:47  |  Player1-Joao  |  hand  |  4h-Qh-5h-3h / 8d-10d / 5s-Ks-Js-9s-10s / 
2013-05-29 20:56:50  |  Player2-Rita  |  play  |  9c
2013-05-29 20:56:50  |  Player2-Rita  |  hand  |  5c-10c-8c-Qc / 6h-Ah-9h / Jd-4d / 3s-Qs / 
2013-05-29 20:56:53  |  Player3-Lima  |  play  |  Jc
2013-05-29 20:56:53  |  Player3-Lima  |  hand  |  7h-10h-Jh / 2d-6d-5d-Ad / 2s-4s-6s / 
2013-05-29 20:56:56  |  Player0-Ricardo  |  play  |  8h
2013-05-29 20:56:56  |  Player0-Ricardo  |  hand  |  Kh-2h / Qd-9d-Kd-7d-3d / As-8s-7s / 
2013-05-29 20:57:00  |  Player1-Joao  |  play  |  4h
2013-05-29 20:57:00  |  Player1-Joao  |  hand  |  Qh-5h-3h / 8d-10d / 5s-Ks-Js-9s-10s / 
2013-05-29 20:57:03  |  Player2-Rita  |  play  |  5c
